domain,status,label,location,detail,timestamp
pgfsvwx.biz,Malicious,"C2服务器, 勒索软件, 钓鱼网站, MyloBot, 僵尸网络",美国,域名被OTX标记为高风险，关联MyloBot、Luna Moth/Silent Ransom Group勒索活动及C2服务器，并被VirusTotal的15家安全厂商判定为恶意。,2025-07-24 15:12:05
jlqltsjvh.biz,Malicious,"C2服务器, 钓鱼网站",美国,域名被OTX标记为高风险并关联多起恶意软件活动，VirusTotal检测到15个安全厂商确认其恶意性，且注册信息使用隐私保护，符合恶意域名特征。,2025-07-24 15:13:27
www.torrentsnipe.info,Malicious,"恶意软件,C2服务器",美国,域名被防火墙拦截标记为恶意软件，且SSL证书与域名不匹配，历史IP记录显示长期使用不同国家服务器，邮件安全记录缺失，存在高风险恶意行为特征。,2025-08-05 17:33:34
bestproductreviews.xyz,malicious,钓鱼网站,域名未配置SPF/DMARC/DKIM邮件安全策略，且网站无法访问，存在被用于钓鱼攻击或虚假评论的高风险。,2025-08-06 10:36:49
eveloungeyyc.com,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名存在注册信息隐藏、DNS频繁变更、邮件安全缺失、SSL配置异常及历史IP异常等多风险点，高度疑似用于钓鱼、垃圾邮件或作为隐蔽C2服务器。,2025-08-06 10:37:49
frozi.cc,malicious,"恶意软件分发, 僵尸网络控制",域名被防火墙标记为恶意软件，且缺乏邮件安全配置，存在高风险行为特征。,2025-08-06 10:38:38
viadeo.best,malicious,钓鱼网站,域名与知名职业社交平台Viadeo高度相似，且存在DNS解析异常、注册信息隐藏、邮件安全记录缺失等可疑特征，高度疑似仿冒网站用于钓鱼攻击。,2025-08-06 10:39:24
bleh.top,malicious,"钓鱼网站, 垃圾邮件",域名存在注册信息隐私隐藏、DNS解析异常、安全措施缺失等多项高风险特征，且无法正常解析，可能被用于钓鱼攻击或垃圾邮件分发。,2025-08-06 10:40:09
bleh.rip,malicious,"钓鱼网站, 垃圾邮件",域名存在Whois信息缺失、DNS解析异常、邮件安全配置缺失、历史DNS空白及SSL证书缺失等多重高风险特征，高度疑似用于钓鱼或垃圾邮件等恶意活动。,2025-08-06 10:40:47
iotkit.duckdns.org,malicious,"C2服务器, 垃圾邮件, 远程访问木马",域名使用DuckDNS动态DNS服务且Whois信息缺失，结合防火墙标记为恶意软件，存在C2通信和恶意活动风险,2025-08-06 10:41:38
smtp261.storeroom-headgear.com,malicious,"C2服务器, 垃圾邮件, 钓鱼网站",域名被Palo Alto防火墙标记为恶意软件类别且存在DGA特征、Whois信息缺失、邮件安全配置缺失、SSL证书缺失等高风险指标,2025-08-06 10:42:24
bot.chanbaba.online,malicious,"恶意软件分发,C2服务器,僵尸网络",域名存在注册信息隐藏、无邮件安全配置、短期IP活动、SSL缺失等高风险特征，且被防火墙明确标记为恶意软件类别，名称中的'bot'暗示可能与僵尸网络或恶意控制相关。,2025-08-06 10:43:10
jfbd.com,malicious,"恶意软件, 勒索软件, C2服务器",该域名存在频繁IP变更、历史NXDOMAIN记录、地理位置不一致、邮件安全配置缺失及被防火墙标记为恶意软件等多重异常特征，高度疑似用于恶意活动。,2025-08-06 10:44:00
www.jfbd.com,malicious,"垃圾邮件, 钓鱼网站",域名即将到期且邮件安全措施缺失（无SPF/DMARC/DKIM配置），历史DNS记录中出现NXDOMAIN异常，存在被用于垃圾邮件和钓鱼攻击的高风险。,2025-08-06 10:45:03
moruk.xyz,malicious,"钓鱼网站, 垃圾邮件, 僵尸网络",域名注册信息异常且启用隐私保护，DNS配置频繁变更且关联多国服务器，MX记录及邮件安全机制缺失，历史记录显示长期NXDOMAIN及潜在恶意控制风险。,2025-08-06 10:45:55
www.chrome-update.pro,malicious,"钓鱼网站, 恶意软件分发",域名伪装成Chrome官方更新服务，Whois信息缺失，缺乏邮件安全记录，历史DNS异常且指向微软Azure服务器，存在高风险的钓鱼和恶意软件分发行为。,2025-08-06 10:46:43
64thservice.life,malicious,"垃圾邮件, 钓鱼网站, C2服务器",域名存在Whois信息缺失、DNS解析异常、邮件安全机制缺失及SSL证书矛盾等多重风险，且疑似DGA生成，高度指向恶意用途。,2025-08-06 10:47:20
64thservices64.netlify.app,malicious,恶意软件,域名被防火墙标记为恶意软件，且存在DGA生成特征、IP频繁变动及安全配置缺失等高风险行为。,2025-08-06 10:47:54
bidreaper.com,malicious,"恶意软件分发, 网络钓鱼",域名被防火墙标记为恶意软件，且存在邮件安全配置缺陷和复杂的DNS配置，可能用于恶意软件分发及网络钓鱼活动。,2025-08-06 10:48:57
timconnorscoach.com,malicious,"恶意软件, 钓鱼网站",域名被防火墙直接标记为恶意软件，且存在隐私保护异常、邮件安全配置缺失、SSL证书过期、域名锁定状态等多重风险特征。,2025-08-06 10:49:42
clientes.sangrecreativa.com,benign,,域名存在邮件配置缺失、IP频繁变更及隐私保护等异常特征，但无直接证据表明其为恶意域名，需进一步验证服务器状态及威胁情报关联性。,2025-08-06 10:50:41
headtechnologies.xyz,benign,-,当前域名存在DNS解析失败和邮件安全配置缺失等问题，但无直接证据表明其涉及恶意行为，无法访问网站内容也未发现明确的恶意用途关联。,2025-08-06 10:51:37
mdm.net.id,benign,-,域名注册信息缺失和邮件安全配置不完整存在潜在风险，但无直接证据表明该域名涉及恶意行为，且SSL证书正常，DNS解析无异常。,2025-08-06 10:52:36
teplinks.co.ke,benign,-,域名未发现明确的恶意行为特征，但存在Whois信息缺失、DNS服务器异常及邮件安全配置缺失等潜在风险，需持续监控。,2025-08-06 10:53:30
willneww.com,malicious,"恶意软件, 钓鱼网站, 垃圾邮件",域名存在Whois信息缺失、刚注册且状态异常、DNS解析历史异常、邮件安全配置缺失等高风险特征，且被防火墙直接标记为恶意软件，综合判断为恶意域名。,2025-08-06 10:54:22
world-safest.asia,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名存在serverHold异常状态、DNS解析缺失、邮件安全机制缺失、SSL证书未启用及注册信息地理位置不一致等高风险特征，高度疑似被用于钓鱼、垃圾邮件及恶意通信。,2025-08-06 10:55:09
crypter-test.netlify.app,malicious,"恶意软件分发,C2服务器",域名被Palo Alto防火墙标记为恶意软件，且存在Whois信息缺失、SSL证书缺失、AWS IP集中及历史DNS异常等高风险特征。,2025-08-06 10:55:48
sdfgbh565yes.xyz,malicious,"钓鱼网站, 垃圾邮件",域名由随机字符组成且Whois信息缺失，DNS配置异常且无邮件安全机制，符合恶意域名特征。,2025-08-06 10:56:42
mynode.olb-portals.net.tr,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名存在Whois信息隐藏、DNS解析异常、邮件安全缺失及SSL证书缺失等多项高风险特征，且无法访问可能用于隐藏恶意活动。,2025-08-06 10:57:23
bin.bunnybots.ru,malicious,"钓鱼网站, 垃圾邮件",域名注册信息异常且缺乏必要安全配置（如MX记录、SSL证书），DNS解析异常且历史记录显示NXDOMAIN，存在伪装或钓鱼攻击风险。,2025-08-06 10:58:03
akacostanyaszarvas.hu,malicious,"恶意软件, C2服务器, 钓鱼网站",域名被防火墙标记为恶意软件且访问被拦截，同时存在Whois信息缺失、邮件安全配置不完善等高风险特征。,2025-08-06 10:58:52
domain_name,malicious,"钓鱼网站, 隐蔽通信",域名存在Whois信息缺失、DNS解析异常、邮件安全配置缺失及SSL证书查询失败等高风险特征，无法正常解析且缺乏必要安全配置，高度疑似用于钓鱼或隐蔽通信,2025-08-06 11:00:01
phs1.krakencloud.net,malicious,"恶意软件, 僵尸网络, C2服务器",域名被防火墙标记为恶意软件，且存在DGA生成特征、IP地址来源不一致、邮件安全配置缺失等高风险行为特征。,2025-08-06 11:00:53
tester231.lovestoblog.com,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名存在Whois信息缺失、邮件安全措施缺失、SSL证书缺失、DNS记录异常及网站连接异常等多重风险，且IP时间线存在矛盾，高度疑似用于网络钓鱼、垃圾邮件或作为恶意C2服务器。,2025-08-06 11:01:51
phs9.krakencloud.net,malicious,"恶意软件分发,C2服务器,钓鱼网站",域名被Palo Alto防火墙标记为恶意软件，且存在DGA特征、隐私信息隐藏、IP归属异常等高风险行为。,2025-08-06 11:02:37
f8412d18b65f41971fc60ee914d24a70.loophole.site,malicious,"钓鱼网站, 恶意软件分发, C2服务器",域名符合DGA生成特征，注册信息隐藏且DNS记录异常，SSL证书短期有效，随机子域名结构及缺乏邮件安全配置均指向恶意用途。,2025-08-06 11:03:49
ekochist.com,malicious,"恶意软件分发, 网络钓鱼, 非法活动跳板",域名被防火墙标记为恶意软件，且存在邮件安全配置缺失、DNS托管变更等高风险特征。,2025-08-06 11:04:40
laccalhdc.com,malicious,"垃圾邮件, 勒索软件, 僵尸网络",域名注册信息缺失、DNS服务器异常（NULLED-NS）、邮件安全配置缺失、历史DNS记录频繁变更，且无法解析A/CNAME记录，存在高风险行为特征。,2025-08-06 11:05:33
jupagroup.com,benign,-,当前信息未发现明确恶意特征，但存在邮件配置缺失、DNS异常指向等潜在风险，需进一步验证域名实际用途及历史关联,2025-08-06 11:06:53
aspotan.com,benign,-,当前无明确恶意特征，但需关注邮件安全配置缺失及网站访问异常问题,2025-08-06 11:07:52
vivianvalora.com,malicious,恶意软件,域名被校园网络防火墙直接标记为恶意软件，且存在邮件安全配置缺失等潜在风险。,2025-08-06 11:08:43
redempti.com,malicious,"钓鱼网站, 垃圾邮件",域名注册信息不完整、DNS历史复杂且多次变更、未配置邮件安全机制，结合无法访问的网站状态，存在高风险被用于钓鱼或垃圾邮件活动。,2025-08-06 11:09:37
theblumiles.com,malicious,"远程访问木马, C2服务器",该域名被防火墙标记为恶意软件，且未配置邮件安全策略，存在较高安全风险。,2025-08-06 11:10:14
scygas.com,malicious,"恶意软件分发, 网络钓鱼",域名存在Whois信息不透明、历史DNS记录异常、邮件安全配置缺失、SSL证书覆盖不全等高风险特征，且被防火墙直接拦截标记为恶意软件。,2025-08-06 11:10:54
