ip,status,label,detail,timestamp
45.148.10.68,Malicious,"垃圾邮件, 僵尸网络, 端口扫描",荷兰,OTX威胁情报显示该IP多次与SPAM Bot关联，并存在大量LCIA:HoneyNet记录及端口扫描行为，VirusTotal亦标记为可疑,2025-07-24 10:41:00
91.105.196.171,Malicious,"僵尸网络,C2服务器",俄罗斯,VirusTotal检测到10个安全厂商标记为恶意，OTX情报显示该IP被Rosethorn PotNet记录，且属于高风险僵尸网络关联IP。,2025-07-24 10:42:09
47.121.201.164,Safe,-,中国,威胁情报显示低风险且属于阿里巴巴集团下属公司，未发现明确恶意行为特征。,2025-07-24 10:50:04
47.121.176.219,Suspicious,端口扫描,中国,该IP被OTX记录到多次端口扫描行为，且VirusTotal标记为可疑，尽管属于阿里巴巴集团但缺乏公开网站和SSL证书信息，存在潜在恶意行为可能性。,2025-07-24 10:52:09
218.255.139.42,Malicious,"僵尸网络, 远程访问木马",香港,OTX威胁情报显示该IP与僵尸网络Botnet列表关联，并存在Telnet端口扫描行为，VirusTotal综合评估为高风险且9家安全厂商标记为恶意。,2025-07-24 10:53:42
216.250.251.108,Malicious,僵尸网络,美国,OTX威胁情报关联到僵尸网络名单，VirusTotal高风险评分（7个厂商标记恶意）佐证其恶意性质。,2025-07-24 10:55:16
216.10.250.218,Malicious,"僵尸网络, C2服务器, SSH暴力破解",印度,该IP被12个安全厂商标记为恶意，且与多个蜜罐项目、恶意IP列表及SSH暴力破解活动相关联。,2025-07-24 10:57:50
212.113.102.147,Malicious,僵尸网络,瑞典,OTX情报显示该IP与Botnet List关联，VirusTotal检测到10个安全厂商标记为恶意，且ASN所有者与Whois信息存在不一致，符合僵尸网络控制服务器特征。,2025-07-24 10:59:28
136.64.44.36,Safe,-,美国,该IP属于福特汽车公司，且未被任何安全厂商标记为恶意或可疑，威胁情报评估为低风险。,2025-07-24 11:01:13
119.18.55.217,Malicious,僵尸网络,印度,OTX标记为高风险且关联Cowrie蜜罐数据，VirusTotal多个安全厂商判定为恶意，符合僵尸网络行为特征。,2025-07-24 11:13:00
118.196.24.91,Malicious,僵尸网络,中国,该IP被OTX标记为高风险且出现在僵尸网络列表，VirusTotal有8家安全厂商判定为恶意，符合僵尸网络行为特征。,2025-07-24 11:14:21
66.63.187.193,Malicious,"网络扫描, 暴力破解, 端口扫描",美国,OTX威胁情报检测结果和VirusTotal高风险评分表明该IP涉及恶意网络活动，包括WEB扫描、暴力破解和端口扫描行为。,2025-07-24 11:15:51
