domain_name,otx_count,vt_count,
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
80w19v.cn,48,15,63
com-certify.info,2,25,27
cyan-otter.static.domains,1,24,25
g5c8-casefb758467.vercel.app,0,25,25
microsoft-login.praetoria.fr,3,22,25
trezor-x.com,1,24,25
face-book-login.vercel.app,0,25,25
trezor.en-safewallets.com,1,24,25
batallkan-cc-dgbs.vercel.app,0,24,24
e5j2-casefb749121.vercel.app,0,24,24
fir-ashen.vercel.app,0,24,24
facbook-i4va.vercel.app,0,24,24
v1-ledgerlive.netlify.app,0,24,24
5bet988.com,5,18,23
dbsscrddd.cppsupport.help,1,22,23
et8z-casefb691430.vercel.app,0,23,23
id-handel-mobile-de.aklawfirm.net,0,23,23
usataxirs.us,1,22,23
allegro.pl-oferta0175291.icu,3,20,23
coinbase-chrome-extnsion.typedream.app,1,22,23
en-coinbasee-wallet.typedream.app,1,22,23
system-notif-17559008666.vercel.app,0,23,23
delightful-thanks-497239.framer.app,1,21,22
gdryuioutryuiotey567iouoiwe45yiykjherytfyu.pages.dev,1,21,22
web.telegraml-tg.cc,1,21,22
allegro.pl-kategoria1781528915289.shop,2,20,22
allegro.pl-kategorie781238718723781233.shop,3,19,22
allegro.pl-oferta243790.icu,3,19,22
allegro.pl-oferta27384296.sbs,2,20,22
allegro.pl-oferta548295.shop,2,20,22
allegro.pl-oferta5832610.cfd,3,19,22
knewlog.cn,4,18,22
specjalny2750.shop,3,19,22
coinbaseext-wallet.typedream.app,1,20,21
conexiondigitalve.pro,1,20,21
fnsnbnkqenbbsvrus.duckdns.org,0,21,21
kewaowieurdff.weebly.com,1,20,21
login-screen-107415.weeblysite.com,0,21,21
numerous-influence-371818.framer.app,1,20,21
optionwahlen.com,2,19,21
www.id-handel.mobile.corporatecompaniesvideo.info,0,21,21
allegro.pl-kategoria487295174629.shop,2,19,21
apps-kucoin-en-apps.webflow.io,0,21,21
doc-trazeer-cdnen-us.webflow.io,0,21,21
itrusttxcapitallogin.webflow.io,0,21,21
my--app--itrustcapital-com--cdn-auth.webflow.io,0,21,21
sso----i-trustcapital-com-autth.webflow.io,0,21,21
sso--i-trustcapital----com-help.webflow.io,0,21,21
www-mrelay-jour.com,2,19,21
bafybeifrqfpe6udsri5dvupogp4v25v5rrscrekyrkpfy62nmhxy2jyizu.ipfs.dweb.link,1,19,20
fbopx.tahory.site,0,20,20
