domain,label
0.csueastbay.edu,benign
00.124.324.77.00.opteamevent.hu,benign
000lk3v.wcomhost.com,phishing
000lkub.rcomhost.com,phishing
000ll4q.rcomhost.com,phishing
000lp59.wcomhost.com,phishing
000m9w3.wcomhost.com,phishing
000macu.wcomhost.com,phishing
000webhostvk.000webhostapp.com,phishing
001.002.003.23.opteamevent.hu,benign
001547.000webhostapp.com,phishing
00324il.moonfruit.com,phishing
00capital0neservice.000webhostapp.com,phishing
00wwebhost.tk,benign
01203313441.tk,benign
0123456789.biz,benign
0137dcc5.tinylinks.co,benign
01453.com,benign
019201.webcindario.com,phishing
01bvxp4ze2.bradul.creatory.org,phishing
01carprices.com,benign
02.27.27.111.themonitorguy.com,benign
0245acc00unt-info001.000webhostapp.com,phishing
02d34321.linkbucks.com,benign
02zps9iimwo9gukluvz8.littlematchagirl.com.au,phishing
02zps9iimwo9gukluvz8.maherstcottage.com.au,phishing
032255.com,benign
03383bd.netsolhost.com,phishing
039da14c.ngrok.io,phishing
049964324docviewonline.000webhostapp.com,phishing
05minute.com,benign
06works-plus.com,malware
072112277195639-dot-ale-ckr-efh.appspot.com,phishing
07f2kuc2szyosycbteg7.littlematchagirl.com.au,phishing
08.27.27.131.krizis.net,benign
087betcup.com,phishing
087celtabet.com,phishing
088betcup.com,phishing
088celtabet.com,phishing
08nrc.blogspot.com,benign
0creditcard.biz,benign
0dayreggaedancehall.blogspot.com,benign
0de0ee94.yyv.co,benign
0ec97c88.000webhostapp.com,phishing
0f1dc77bd4.000webhostapp.com,phishing
0ff.bz,phishing
0jaqkuc24kdjvpgdc8va.littlematchagirl.com.au,phishing
0jaqkuc24kdjvpgdc8va.maherstcottage.com.au,phishing
0myetherwallet.com,phishing
0nline.23welsfargo39.com.al4all.co.za,phishing
0range-espaceclient.particuliersw2.fr,phishing
0rkut-3d-2011.blogspot.com,benign
0rkut-s3x-ch4t01.blogspot.com,benign
0rkut-s3x-ch4t01.blogspot.com,phishing
0rkut-s3x-ch4t02.blogspot.com,benign
0rkut-s3x-ch4t02.blogspot.com,phishing
0rkut-s3x-ch4t02.blogspot.de,benign
0rkut-s3x-ch4t03.blogspot.com,benign
0rkut-s3x-ch4t03.blogspot.com,phishing
0rkut-s3x-ch4t04.blogspot.co.uk,benign
0rkut-s3x-ch4t04.blogspot.com,benign
0rkut-s3x-ch4t04.blogspot.com,phishing
0rkut-s3x-ch4t04.blogspot.ro,benign
0rkut-s3x-ch4t05.blogspot.com,benign
0rkut-s3x-ch4t05.blogspot.de,benign
0rrkut2012.je.ro,benign
0rvcr9ahvnueb4f1la4u.littlematchagirl.com.au,phishing
0s.n5vs44tv.verek.ru,phishing
0s.ozvs4y3pnu.nblz.ru,phishing
0tzg4irsuabvucpvw937.littlematchagirl.com.au,phishing
0tzg4irsuabvucpvw937.maherstcottage.com.au,phishing
0utl00kmaintenanc2018.editor.multiscreensite.com,phishing
0vm4hjvug772wnv8kuzj.cedricchenevert.com,phishing
0vm4hjvug772wnv8kuzj.mbservicesyorkshire.co.uk,phishing
0wa2018webportalupdate.editor.multiscreensite.com,phishing
0zrnafy0cm1cqvg3g6ey.littlematchagirl.com.au,phishing
1-kansas.com,benign
1-language.com,benign
1-myetherwallet.com,phishing
1-myetherwallet.info,phishing
1-newjersey.com,benign
1-ohio.com,benign
1.faoebook.in,benign
100000munkahely.hu,phishing
10000boomer.com,benign
10000days.org.uk,benign
10000daysinalaska.com,benign
10000moedas.rel7.com,benign
100032351.hol.es,phishing
100033212k.hol.es,phishing
1000agres.pt,phishing
1000avenue.com,phishing
1000mwlaserpointer.blogspot.com,benign
1000rupaiya.com,phishing
1001golos.dxservice.ru,phishing
1001laurel.com,benign
1006565215.hol.es,phishing
